from_stop_id,to_stop_id,transfer_type,min_transfer_time
8501300,8501300,2,180
8501301,8501301,2,120
8501302,8501302,2,120
8501303,8501303,2,120
8501304,8501304,2,120
8501306,8501306,2,120
8501308,8501308,2,120
8501357,8501357,2,120
8501360,8501360,2,120
8501361,8501361,2,120
8501362,8501362,2,120
8501363,8501363,2,120
8501364,8501364,2,120
8501365,8501365,2,120
8501366,8501366,2,120
8501367,8501367,2,120
8501368,8501368,2,120
8501369,8501369,2,120
8501370,8501370,2,120
8501371,8501371,2,120
8501374,8501374,2,120
8501375,8501375,2,120
8501376,8501376,2,120
8501377,8501377,2,120
8501378,8501378,2,120
8501379,8501379,2,120
8501380,8501380,2,120
8501381,8501381,2,120
8501382,8501382,2,120
8501383,8501383,2,120
8501384,8501384,2,120
8501385,8501385,2,120
8501386,8501386,2,120
8501387,8501387,2,120
8501388,8501388,2,120
8501390,8501390,2,120
8501391,8501391,2,120
8501392,8501392,2,120
8501393,8501393,2,120
8501394,8501394,2,120
8501395,8501395,2,120
8501396,8501396,2,120
8501397,8501397,2,120
8501398,8501398,2,120
8501399,8501399,2,120
8501400,8501400,2,180
8501402,8501402,2,180
8501403,8501403,2,240
8501404,8501404,2,120
8501405,8501405,2,120
8501420,8501420,2,120
8501421,8501421,2,120
8501422,8501422,2,120
8501423,8501423,2,120
8501424,8501424,2,120
8501425,8501425,2,120
8501426,8501426,2,120
8501428,8501428,2,120
8501446,8501446,2,120
8501447,8501447,2,120
8501448,8501448,2,120
8501452,8501452,2,120
8501453,8501453,2,120
8501454,8501454,2,120
8501457,8501457,2,120
8501458,8501458,2,120
8501460,8501460,2,120
8501461,8501461,2,120
8501462,8501462,2,120
8501463,8501463,2,120
8501464,8501464,2,120
8501465,8501465,2,120
8501466,8501466,2,120
8501468,8501468,2,120
8501470,8501470,2,120
8501471,8501471,2,120
8501472,8501472,2,120
8501473,8501473,2,120
8501474,8501474,2,120
8501475,8501475,2,120
8501476,8501476,2,120
8501477,8501477,2,120
8501479,8501479,2,120
8501480,8501480,2,120
8501481,8501481,2,120
8501482,8501482,2,120
8501483,8501483,2,120
8501484,8501484,2,120
8501485,8501485,2,120
8501487,8501487,2,120
8501488,8501488,2,120
8501490,8501490,2,120
8501491,8501491,2,120
8501492,8501492,2,120
8501493,8501493,2,120
8501494,8501494,2,120
8501495,8501495,2,120
8501497,8501497,2,120
8501498,8501498,2,120
8501499,8501499,2,120
8501500,8501500,2,180
8501501,8501501,2,120
8501502,8501502,2,120
8501503,8501503,2,120
8501504,8501504,2,120
8501505,8501505,2,120
8501506,8501506,2,180
8501507,8501507,2,120
8501509,8501509,2,120
8501510,8501510,2,120
8501552,8501552,2,120
8501554,8501554,2,120
8501561,8501561,2,120
8501562,8501562,2,120
8501563,8501563,2,120
8501564,8501564,2,120
8501565,8501565,2,120
8501566,8501566,2,120
8501568,8501568,2,60
8501572,8501572,2,120
8501573,8501573,2,120
8501575,8501575,2,120
8501576,8501576,2,60
8501577,8501577,2,120
8501578,8501578,2,120
8501579,8501579,2,120
8501580,8501580,2,120
8501600,8501600,2,120
8501601,8501601,2,120
8501602,8501602,2,120
8501603,8501603,2,120
8501604,8501604,2,120
8501605,8501605,2,240
8501609,8501609,2,240
8501634,8501634,2,120
8501635,8501635,2,120
8501636,8501636,2,120
8501661,8501661,2,120
8501662,8501662,2,120
8501663,8501663,2,120
8501664,8501664,2,120
8501665,8501665,2,120
8501666,8501666,2,120
8501667,8501667,2,120
8501668,8501668,2,120
8501669,8501669,2,120
8501670,8501670,2,120
8501671,8501671,2,120
8501672,8501672,2,60
8501673,8501673,2,120
8501674,8501674,2,120
8501675,8501675,2,120
8501676,8501676,2,120
8501677,8501677,2,120
8501679,8501679,2,120
8501683,8501683,2,120
8501684,8501684,2,120
8501685,8501685,2,120
8501686,8501686,2,120
8501687,8501687,2,120
8501688,8501688,2,240
8501689,8501689,2,300
8501690,8501690,2,120
8501691,8501691,2,120
8501692,8501692,2,120
8501693,8501693,2,120
8501694,8501694,2,120
8501725,8501725,2,120
8501726,8501726,2,120
8501727,8501727,2,120
8501729,8501729,2,120
8501950,8501950,2,600
8501951,8501951,2,600
8501952,8501952,2,180
8502000,8502000,2,180
8502001,8502001,2,240
8502002,8502002,2,120
8502003,8502003,2,120
8502004,8502004,2,120
8502005,8502005,2,120
8502006,8502006,2,120
8502007,8502007,2,180
8502008,8502008,2,120
8502009,8502009,2,120
8502010,8502010,2,120
8502011,8502011,2,120
8502012,8502012,2,120
8502017,8502017,2,120
8502019,8502019,2,120
8502020,8502020,2,120
8502021,8502021,2,120
8502022,8502022,2,120
8502023,8502023,2,120
8502024,8502024,2,120
8502025,8502025,2,120
8502026,8502026,2,120
8502027,8502027,2,120
8502028,8502028,2,180
8502029,8502029,2,120
8502030,8502030,2,120
8502031,8502031,2,120
8502032,8502032,2,120
8502033,8502033,2,120
8502034,8502034,2,120
8502042,8502042,2,120
8502043,8502043,2,120
8502100,8502100,2,120
8502101,8502101,2,120
8502102,8502102,2,120
8502103,8502103,2,60
8502104,8502104,2,120
8502105,8502105,2,180
8502106,8502106,2,240
8502110,8502110,2,120
8502111,8502111,2,120
8502112,8502112,2,120
8502113,8502113,2,240
8502114,8502114,2,180
8502115,8502115,2,120
8502116,8502116,2,180
8502119,8502119,2,240
8502120,8502120,2,120
8502121,8502121,2,120
8502122,8502122,2,120
8502123,8502123,2,120
8502128,8502128,2,120
8502160,8502160,2,120
8502161,8502161,2,120
8502162,8502162,2,120
8502163,8502163,2,120
8502164,8502164,2,120
8502165,8502165,2,120
8502166,8502166,2,120
8502167,8502167,2,120
8502168,8502168,2,120
8502169,8502169,2,120
8502174,8502174,2,120
8502176,8502176,2,120
8502177,8502177,2,120
8502178,8502178,2,120
8502179,8502179,2,120
8502180,8502180,2,120
8502181,8502181,2,120
8502182,8502182,2,120
8502184,8502184,2,120
8502185,8502185,2,120
8502186,8502186,2,120
8502187,8502187,2,120
8502188,8502188,2,120
8502189,8502189,2,120
8502191,8502191,2,120
8502192,8502192,2,120
8502194,8502194,2,120
8502195,8502195,2,120
8502196,8502196,2,120
8502197,8502197,2,120
8502199,8502199,2,120
8502200,8502200,2,120
8502201,8502201,2,120
8502202,8502202,2,180
8502203,8502203,2,120
8502204,8502204,2,240
8502205,8502205,2,120
8502206,8502206,2,180
8502208,8502208,2,120
8502209,8502209,2,120
8502211,8502211,2,120
8502212,8502212,2,120
8502213,8502213,2,120
8502214,8502214,2,120
8502215,8502215,2,120
8502216,8502216,2,120
8502217,8502217,2,120
8502218,8502218,2,120
8502219,8502219,2,120
8502220,8502220,2,120
8502221,8502221,2,120
8502222,8502222,2,120
8502223,8502223,2,120
8502224,8502224,2,120
8502225,8502225,2,120
8502226,8502226,2,120
8502227,8502227,2,120
8502229,8502229,2,120
8502230,8502230,2,120
8502231,8502231,2,120
8502237,8502237,2,120
8502247,8502247,2,120
8502248,8502248,2,120
8502268,8502268,2,120
8502269,8502269,2,120
8502270,8502270,2,120
8502271,8502271,2,120
8502272,8502272,2,120
8502273,8502273,2,120
8502274,8502274,2,120
8502275,8502275,2,120
8502276,8502276,2,60
8502277,8502277,2,120
8502278,8502278,2,60
8502300,8502300,2,120
8502306,8502306,2,120
8502476,8502476,2,120
8503000,8503000,2,420
8503001,8503001,2,180
8503003,8503003,2,240
8503004,8503004,2,180
8503006,8503006,2,180
8503007,8503007,2,120
8503008,8503008,2,120
8503009,8503009,2,120
8503010,8503010,2,180
8503011,8503011,2,180
8503015,8503015,2,120
8503016,8503016,2,300
8503020,8503020,2,180
8503051,8503051,2,120
8503052,8503052,2,120
8503053,8503053,2,120
8503054,8503054,2,120
